Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Paul Pierce,24,SG,BOS,82,3302,22.3,21.1,0.123,0.123,0.175,0.58,73.6,101.5
Tim Duncan,25,PF,SAS,82,3329,27.0,31.8,0.145,0.145,0.259,0.3,102.5,77.7
Kobe Bryant,23,SG,LAL,80,3063,23.2,20.5,0.122,0.122,0.168,0.991,86.3,166.5
Tracy McGrady,22,SG,ORL,76,2912,25.1,25.6,0.123,0.123,0.37,0.125,66.1,46.2
Allen Iverson,26,SG,PHI,60,2622,21.9,24.3,0.114,0.114,0.25,0.222,59.7,55.5
Shaquille O'Neal,29,C,LAL,67,2422,29.7,28.3,0.157,0.157,0.232,0.991,111.0,229.9
Gary Payton,33,PG,SEA,82,3301,22.9,20.2,0.108,0.108,0.269,0.222,59.3,59.7
Antoine Walker,25,PF,BOS,81,3406,17.1,16.0,0.094,0.094,0.133,0.58,56.2,77.1
Karl Malone,38,PF,UTA,80,3040,21.1,15.6,0.116,0.116,0.206,0.125,62.3,25.8
Dirk Nowitzki,23,C,DAL,76,2891,24.1,24.8,0.097,0.097,0.223,0.35,67.4,78.0
Kevin Garnett,25,PF,MIN,81,3175,23.8,25.5,0.123,0.123,0.435,0.0,75.0,0.0
Jalen Rose,29,SF,"IND, CHI",83,3153,18.4,,"0.075, 0.081",0.077,0.0,0.0,32.0,0.0
Jerry Stackhouse,27,SF,DET,76,2685,19.0,13.6,0.11,0.11,0.13,0.3,67.1,39.0
Wally Szczerbiak,24,SF,MIN,82,3117,17.1,16.5,0.088,0.088,0.282,0.0,53.7,0.0
Rasheed Wallace,27,PF,POR,79,2963,19.3,21.1,0.099,0.099,0.701,0.0,59.2,0.0
Baron Davis,22,PG,CHH,82,3318,18.2,20.6,0.109,0.109,0.161,0.323,58.5,52.0
Steve Nash,27,PG,DAL,82,2837,20.7,18.7,0.084,0.084,0.168,0.35,58.4,58.8
Michael Finley,28,SF,DAL,69,2754,17.6,19.3,0.071,0.071,0.173,0.35,49.3,60.5
Jermaine O'Neal,23,PF,IND,72,2707,18.1,12.6,0.087,0.087,0.145,0.222,44.5,32.2
Chris Webber,28,PF,SAC,54,2071,24.4,22.1,0.141,0.141,0.181,0.65,104.9,117.6
Nick Van Exel,30,SG,"DEN, DAL",72,2496,16.3,9.4,"0.063, 0.066",0.064,0.084,0.35,30.2,0.0
Reggie Miller,36,SG,IND,79,2889,16.5,21.2,0.079,0.079,0.244,0.222,40.4,54.2
Bonzi Wells,25,SG,POR,74,2348,18.4,9.0,0.094,0.094,0.299,0.0,56.2,0.0
Jason Kidd,28,PG,NJN,82,3056,19.1,21.7,0.109,0.109,0.162,0.642,69.1,104.0
Keith Van Horn,26,SF,NJN,81,2465,16.0,14.3,0.091,0.091,0.106,0.642,57.7,68.1
Rashard Lewis,22,SF,SEA,71,2585,18.5,15.5,0.087,0.087,0.206,0.222,47.8,0.0
Juwan Howard,28,PF,"DAL, DEN",81,2635,17.1,,"0.061, 0.059",0.06,0.0,0.0,34.4,0.0
Clifford Robinson,35,PF,DET,80,2855,13.5,12.0,0.078,0.078,0.115,0.3,47.6,34.5
Brent Barry,30,SG,SEA,81,3040,19.3,12.5,0.091,0.091,0.166,0.222,50.0,36.9
Antonio Davis,33,PF,TOR,77,2978,14.8,15.3,0.085,0.085,0.198,0.222,43.5,44.0
Kerry Kittles,27,SG,NJN,82,2601,16.1,16.7,0.092,0.092,0.124,0.642,58.3,79.6
John Stockton,39,PG,UTA,82,2566,21.9,22.2,0.121,0.121,0.294,0.125,65.0,36.8
Mike Bibby,23,PG,SAC,80,2659,14.9,18.2,0.086,0.086,0.149,0.65,64.0,96.9
Kenyon Martin,24,PF,NJN,73,2504,14.5,13.7,0.083,0.083,0.102,0.642,52.6,65.5
Elden Campbell,33,PF,CHH,77,2156,19.5,18.1,0.117,0.117,0.142,0.323,62.8,45.9
Corliss Williamson,28,SF,DET,78,1701,20.0,15.4,0.115,0.115,0.148,0.3,70.2,44.4
