Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Alex English,29,SF,DEN,82,2988,24.1,18.4,0.132,0.132,0.146,0.267,72.5,39.0
Kiki Vandeweghe,24,PF,DEN,82,2909,21.8,20.1,0.12,0.12,0.159,0.267,65.9,42.5
George Gervin,30,SG,SAS,78,2830,20.5,16.2,0.099,0.099,0.134,0.573,64.0,76.8
Moses Malone,27,C,PHI,78,2922,25.1,25.7,0.14,0.14,0.193,1.165,111.0,224.8
Larry Bird,26,PF,BOS,79,2982,24.1,20.3,0.145,0.145,0.21,0.182,99.0,38.2
Jim Paxson,25,SG,POR,81,2740,20.1,19.0,0.108,0.108,0.183,0.291,60.6,53.3
World B. Free,29,SG,"GSW, CLE",73,2638,19.3,,"0.069, 0.091",0.085,0,0.0,25.4,0.0
Dan Issel,34,C,DEN,80,2431,21.6,22.4,0.119,0.119,0.177,0.267,65.3,47.3
Kareem Abdul-Jabbar,35,C,LAL,79,2554,23.6,22.8,0.126,0.126,0.19,0.653,89.1,124.1
Marques Johnson,26,SF,MIL,80,2853,21.1,18.0,0.103,0.103,0.138,0.554,64.1,76.5
Sidney Moncrief,25,SG,MIL,76,2710,22.6,15.4,0.11,0.11,0.118,0.554,68.4,65.4
Calvin Natt,26,SF,POR,80,2879,19.0,16.7,0.103,0.103,0.161,0.291,57.8,46.9
Gus Williams,29,PG,SEA,80,2761,20.5,27.1,0.12,0.12,0,0.0,70.2,0.0
Andrew Toney,25,SG,PHI,81,2474,17.9,15.5,0.1,0.1,0.116,1.165,79.3,135.1
Mike Mitchell,27,SF,SAS,80,2803,16.9,15.5,0.081,0.081,0.128,0.573,52.3,73.3
Jamaal Wilkes,29,SF,LAL,80,2552,17.6,15.2,0.094,0.094,0.127,0.653,66.5,82.9
Julius Erving,32,SF,PHI,72,2421,23.1,16.0,0.129,0.129,0.12,1.165,102.3,139.8
Walter Davis,28,SG,PHO,80,2491,19.1,21.9,0.104,0.104,0.428,0.143,67.2,61.2
Robert Parish,29,C,BOS,78,2459,23.0,14.7,0.139,0.139,0.152,0.182,94.9,27.7
Bernard King,26,SF,NYK,68,2207,20.3,24.0,0.126,0.126,0.211,0.2,67.7,42.2
Artis Gilmore,33,C,SAS,82,2797,21.2,17.9,0.102,0.102,0.148,0.573,65.9,84.8
Dan Roundfield,29,PF,ATL,77,2811,18.8,15.4,0.096,0.096,0.32,0.143,50.3,45.8
Dominique Wilkins,23,SF,ATL,82,2697,16.6,8.5,0.085,0.085,0.176,0.143,44.5,25.2
Buck Williams,22,PF,NJN,82,2961,18.6,17.1,0.099,0.099,0,0.0,59.2,0.0
Larry Nance,23,PF,PHO,82,2914,18.7,11.4,0.102,0.102,0.223,0.143,65.9,31.9
Jack Sikma,27,C,SEA,75,2564,19.6,15.5,0.115,0.115,0,0.0,67.3,0.0
Albert King,23,SF,NJN,79,2447,15.6,14.2,0.083,0.083,0,0.0,49.6,0.0
Magic Johnson,23,SG,LAL,79,2907,23.0,20.6,0.123,0.123,0.172,0.653,87.0,112.3
Bill Cartwright,25,C,NYK,82,2468,19.0,10.9,0.118,0.118,0.096,0.2,63.4,19.2
Maurice Lucas,30,PF,PHO,77,2586,16.1,18.2,0.088,0.088,0.355,0.143,56.8,0.0
Mychal Thompson,28,PF,POR,80,3017,15.4,12.5,0.083,0.083,0.12,0.291,46.6,34.9
Gene Banks,23,PF,SAS,81,2722,16.7,14.6,0.08,0.08,0.12,0.573,51.7,68.8
Norm Nixon,27,PG,LAL,79,2711,13.9,15.0,0.074,0.074,0.125,0.653,52.3,81.6
David Thompson,28,SG,SEA,75,2155,16.1,5.8,0.094,0.094,0,0.0,55.0,0.0
Kevin McHale,25,PF,BOS,82,2345,17.6,15.0,0.106,0.106,0.155,0.182,72.4,28.2
Alvan Adams,28,C,PHO,80,2447,16.8,15.3,0.092,0.092,0.299,0.143,59.4,0.0
Mickey Johnson,30,PF,"MIL, NJN, GSW",78,2053,16.5,,"0.048, 0.086, 0.071",0.077,"0.0, 0",0.0,40.0,0.0
Dennis Johnson,28,PG,PHO,77,2551,14.8,17.9,0.081,0.081,0.35,0.143,52.3,50.0
Darwin Cook,24,PG,NJN,82,2625,14.3,6.0,0.076,0.076,0,0.0,45.4,0.0
Lonnie Shelton,27,PF,SEA,82,2572,12.7,5.4,0.074,0.074,0,0.0,43.3,0.0
Junior Bridgeman,29,SF,MIL,70,1855,16.1,16.5,0.079,0.079,0.127,0.554,49.1,70.4
James Bailey,25,PF,"NJN, HOU",75,1765,16.0,,"0.027, 0.11",0.103,0,0.0,18.6,0.0
Maurice Cheeks,26,PG,PHI,79,2465,18.6,17.3,0.104,0.104,0.13,1.165,82.5,151.4
Kenny Carr,27,PF,POR,82,2331,13.7,13.4,0.074,0.074,0.129,0.291,41.5,37.5
Darryl Dawkins,26,C,NJN,81,2093,13.2,22.5,0.071,0.071,0,0.0,42.5,0.0
Cedric Maxwell,27,SF,BOS,79,2252,14.7,14.7,0.089,0.089,0.152,0.182,60.8,27.7
