Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Allen Iverson,25,SG,PHI,71,2979,1016,24.0,22.5,0.101,0.101,0.151,0.63,69.0,95.1
Shaquille O'Neal,28,C,LAL,74,2924,676,30.2,28.7,0.161,0.161,0.23,1.14,110.0,262.2
Vince Carter,24,SF,TOR,75,2979,539,25.0,23.0,0.116,0.116,0.171,0.412,66.5,70.5
Tracy McGrady,21,SG,ORL,77,3087,178,24.9,26.8,0.137,0.137,0.344,0.125,71.8,43.0
Kobe Bryant,22,SG,LAL,68,2783,694,24.5,25.0,0.13,0.13,0.2,1.14,88.8,228.0
Chris Webber,27,PF,SAC,70,2836,348,24.7,14.6,0.137,0.137,0.13,0.25,91.9,32.5
Karl Malone,37,PF,UTA,81,2895,199,24.7,19.7,0.131,0.131,0.294,0.222,84.6,65.3
Tim Duncan,24,PF,SAS,82,3174,526,23.8,25.4,0.112,0.112,0.195,0.518,79.2,101.0
Ray Allen,25,SG,MIL,82,3129,768,22.9,23.7,0.126,0.126,0.187,0.591,79.9,110.5
Kevin Garnett,24,PF,MIN,81,3202,165,23.9,24.9,0.132,0.132,0.422,0.125,75.6,52.8
Dirk Nowitzki,22,PF,DAL,82,3125,399,22.8,22.3,0.106,0.106,0.232,0.3,68.5,69.6
Michael Finley,27,SF,DAL,82,3443,434,18.2,13.7,0.084,0.084,0.142,0.3,54.3,42.6
Glenn Robinson,28,SF,MIL,76,2813,687,20.1,16.9,0.111,0.111,0.134,0.591,70.4,79.2
Jamal Mashburn,28,SF,CHH,76,2989,419,17.5,20.7,0.103,0.103,0.182,0.471,57.8,85.7
Reggie Miller,35,SG,IND,81,3181,177,17.3,24.6,0.1,0.1,0.346,0.125,50.0,43.2
Jalen Rose,28,SF,IND,72,2943,164,17.8,10.2,0.103,0.103,0.143,0.125,51.5,17.9
Rasheed Wallace,26,PF,POR,77,2940,128,20.9,11.7,0.117,0.117,0.174,0.0,71.4,0.0
