Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Michael Jordan,21,SG,CHI,82,3144,25.8,24.7,0.164,0.164,0.405,0.125,75.9,50.6
Larry Bird,28,SF,BOS,80,3161,26.5,20.9,0.157,0.157,0.176,0.744,120.6,130.9
Alex English,31,SF,DEN,81,2924,21.6,23.5,0.122,0.122,0.15,0.537,77.3,80.6
Mark Aguirre,25,SF,DAL,80,2699,21.3,20.2,0.134,0.134,0.205,0.125,72.0,25.6
Moses Malone,29,C,PHI,79,2957,22.5,18.0,0.125,0.125,0.155,0.6,88.4,93.0
Terry Cummings,23,PF,MIL,79,2722,22.1,22.6,0.113,0.113,0.218,0.25,81.4,54.5
Mike Mitchell,29,SF,SAS,82,2853,16.5,16.9,0.091,0.091,0.199,0.222,45.5,44.2
Calvin Natt,28,PF,DEN,78,2657,21.8,19.6,0.123,0.123,0.125,0.537,78.0,67.1
Ralph Sampson,24,PF,HOU,82,3086,17.4,15.2,0.094,0.094,0.206,0.222,55.0,45.7
Orlando Woolridge,25,SF,CHI,77,2816,19.5,12.0,0.124,0.124,0.197,0.125,57.4,24.6
Darrell Griffith,26,SG,UTA,78,2776,15.6,11.6,0.086,0.086,0.098,0.3,43.0,29.4
Kareem Abdul-Jabbar,37,C,LAL,79,2630,22.9,22.1,0.123,0.123,0.138,0.991,93.0,136.8
Isiah Thomas,23,PG,DET,81,3089,22.2,22.7,0.128,0.128,0.167,0.415,71.8,69.3
Hakeem Olajuwon,22,C,HOU,82,2914,21.1,19.7,0.114,0.114,0.267,0.222,66.7,59.3
Micheal Ray Richardson,29,PG,NJN,82,3127,19.8,14.1,0.102,0.102,0.274,0.0,52.2,0.0
Kiki Vandeweghe,26,SF,POR,72,2502,18.0,17.8,0.105,0.105,0.133,0.323,53.8,43.0
Rolando Blackman,25,SG,DAL,81,2834,17.7,24.3,0.112,0.112,0.246,0.125,60.1,30.8
World B. Free,31,SG,CLE,71,2249,19.7,20.6,0.1,0.1,0.269,0.125,43.9,33.6
Sidney Moncrief,27,PG,MIL,73,2734,20.1,19.9,0.103,0.103,0.192,0.25,74.2,48.0
Gus Williams,31,PG,WSB,79,2960,17.3,11.1,0.1,0.1,0.163,0.125,48.8,20.4
Kevin McHale,27,PF,BOS,79,2653,20.7,18.7,0.123,0.123,0.158,0.744,94.5,117.6
Julius Erving,34,SF,PHI,78,2535,20.0,16.9,0.111,0.111,0.146,0.6,78.5,87.6
Artis Gilmore,35,C,SAS,81,2756,20.3,12.8,0.113,0.113,0.151,0.222,56.5,33.5
George Gervin,32,SG,SAS,72,2091,18.5,13.5,0.103,0.103,0.159,0.222,51.5,35.3
Buck Williams,24,PF,NJN,82,3182,16.7,21.6,0.086,0.086,0.419,0.0,44.0,0.0
Adrian Dantley,29,SF,UTA,55,1971,21.9,17.4,0.121,0.121,0.147,0.3,60.5,44.1
Mychal Thompson,30,PF,POR,79,2616,17.5,16.3,0.102,0.102,0.122,0.323,52.2,39.4
Jay Vincent,25,PF,DAL,79,2543,18.0,9.8,0.114,0.114,0.099,0.125,61.2,12.4
Bill Laimbeer,27,C,DET,82,2892,18.0,14.0,0.104,0.104,0.103,0.415,58.3,42.7
Jeff Malone,23,SG,WSB,76,2613,15.0,13.7,0.086,0.086,0.201,0.125,42.0,25.1
James Worthy,23,SF,LAL,80,2696,17.0,19.7,0.092,0.092,0.123,0.991,69.6,121.9
Magic Johnson,25,PG,LAL,77,2781,23.2,22.3,0.125,0.125,0.139,0.991,94.5,137.7
Robert Parish,31,C,BOS,79,2850,17.6,14.9,0.104,0.104,0.126,0.744,79.9,93.7
Clyde Drexler,22,SG,POR,80,2555,19.7,17.3,0.115,0.115,0.129,0.323,58.9,41.7
Byron Scott,23,SG,LAL,81,2305,16.8,15.9,0.091,0.091,0.099,0.991,68.8,98.1
Paul Pressey,26,SF,MIL,80,2876,17.6,16.6,0.09,0.09,0.16,0.25,64.8,40.0
Quintin Dailey,24,SG,CHI,79,2101,15.2,12.2,0.097,0.097,0.2,0.125,44.9,25.0
Dennis Johnson,30,PG,BOS,80,2976,14.4,12.8,0.085,0.085,0.108,0.744,65.3,80.4
Andrew Toney,27,SG,PHI,70,2237,16.2,12.4,0.09,0.09,0.107,0.6,63.6,64.2
Jim Paxson,27,SG,POR,68,2253,17.3,15.0,0.101,0.101,0.112,0.323,51.7,36.2
Thurl Bailey,23,PF,UTA,80,2481,14.7,13.0,0.081,0.081,0.11,0.3,40.5,33.0
Alvan Adams,30,PF,PHO,82,2136,19.8,19.4,0.111,0.111,0,0.0,48.7,0.0
Roy Hinson,23,PF,CLE,76,2344,16.0,17.4,0.082,0.082,0.227,0.125,36.0,28.4
Phil Hubbard,28,SF,CLE,76,2249,16.0,16.6,0.082,0.082,0.217,0.125,36.0,27.1
Rodney McCray,23,SF,HOU,82,3001,15.5,9.6,0.083,0.083,0.13,0.222,48.6,28.9
Charles Barkley,21,PF,PHI,82,2347,18.3,19.6,0.101,0.101,0.169,0.6,71.4,101.4
Lewis Lloyd,25,SG,HOU,82,2128,15.2,18.4,0.082,0.082,0.249,0.222,48.0,55.3
Greg Ballard,30,SF,WSB,82,2664,14.3,15.2,0.082,0.082,0.224,0.125,40.0,0.0
Vinnie Johnson,28,SG,DET,82,2093,14.9,16.0,0.086,0.086,0.118,0.415,48.2,49.0
Fat Lever,24,PG,DEN,82,2559,16.7,16.8,0.094,0.094,0.107,0.537,59.6,57.5
Kelly Tripucka,25,SF,DET,55,1675,16.7,12.1,0.096,0.096,0.089,0.415,53.9,36.9
Johnny Moore,26,PG,SAS,82,2689,18.3,16.1,0.101,0.101,0.189,0.222,50.5,42.0
Mike Gminski,25,C,NJN,81,2418,16.1,15.4,0.083,0.083,0.299,0.0,42.5,0.0
Maurice Cheeks,28,PG,PHI,78,2616,17.6,15.7,0.098,0.098,0.135,0.6,69.3,81.0
Cliff Robinson,24,PF,WSB,60,1870,16.4,15.4,0.095,0.095,0.226,0.125,46.4,28.2
Rickey Green,30,PG,UTA,77,2431,16.3,18.9,0.09,0.09,0.16,0.3,45.0,48.0
Dan Issel,36,C,DEN,77,1684,16.9,15.2,0.095,0.095,0.097,0.537,60.2,52.1
John Long,28,SG,DET,66,1820,14.2,11.7,0.082,0.082,0.086,0.415,46.0,35.7
Danny Ainge,25,SG,BOS,75,2564,14.2,12.0,0.084,0.084,0.101,0.744,64.5,75.1
Wayne Cooper,28,C,DEN,80,2031,15.1,16.6,0.085,0.085,0.106,0.537,53.9,56.9
Terry Tyler,28,SF,DET,82,2004,14.6,18.9,0.084,0.084,0.139,0.415,47.1,57.7
Johnny Davis,29,PG,CLE,76,1920,14.7,29.3,0.075,0.075,0.383,0.125,32.9,0.0
Sam Perkins,23,PF,DAL,82,2317,15.0,18.7,0.095,0.095,0.189,0.125,51.0,23.6
Darnell Valentine,25,PG,POR,75,2278,15.1,16.5,0.088,0.088,0.124,0.323,45.1,40.1
Craig Hodges,24,SG,MIL,82,2496,11.8,5.0,0.06,0.06,0.048,0.25,43.2,12.0
Maurice Lucas,32,PF,PHO,63,1670,15.1,20.4,0.085,0.085,0,0.0,37.3,0.0
