Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
George Gervin,26,SF,SAS,80,2888,23.2,25.4,0.131,0.131,0.191,0.556,76.6,106.2
Moses Malone,23,C,HOU,82,3390,23.7,28.7,0.151,0.151,0,0.0,86.5,0.0
Paul Westphal,28,SG,PHO,81,2641,22.6,17.8,0.124,0.124,0.123,0.632,75.6,77.7
Kareem Abdul-Jabbar,31,C,LAL,80,3157,25.5,26.5,0.161,0.161,0.241,0.267,92.3,64.3
Walter Davis,24,SF,PHO,79,2437,23.0,21.8,0.127,0.127,0.15,0.632,77.5,94.8
David Thompson,24,SG,DEN,76,2670,19.9,21.3,0.128,0.128,0.239,0.143,73.3,34.2
Julius Erving,28,SF,PHI,78,2802,20.1,22.1,0.112,0.112,0.182,0.431,64.2,78.4
John Drew,24,SF,ATL,79,2410,21.7,15.5,0.124,0.124,0.122,0.431,69.6,52.6
Larry Kenon,26,PF,SAS,81,2947,19.8,17.4,0.112,0.112,0.131,0.556,65.5,72.8
Elvin Hayes,33,PF,WSB,82,3105,19.1,19.2,0.11,0.11,0.156,0.609,72.5,95.0
Otis Birdsong,23,SG,KCK,82,2839,18.4,19.3,0.101,0.101,0.246,0.133,59.1,32.7
Bernard King,22,SF,NJN,82,2859,17.9,16.8,0.1,0.1,0,0.0,45.1,0.0
Calvin Murphy,30,PG,HOU,82,2941,16.1,11.7,0.103,0.103,0,0.0,59.0,0.0
John Williamson,27,SG,NJN,74,2451,16.4,9.7,0.092,0.092,0,0.0,41.5,0.0
Bob Dandridge,31,SF,WSB,78,2629,19.0,19.1,0.11,0.11,0.156,0.609,72.5,95.0
Jamaal Wilkes,25,SF,LAL,82,2915,16.4,17.0,0.103,0.103,0.155,0.267,59.0,41.4
Tom Owens,29,C,POR,82,2791,19.9,14.0,0.104,0.104,0.502,0.143,57.1,0.0
Bob McAdoo,27,C,"NYK, BOS",60,2231,17.5,,"0.121, 0.08",0.107,0,0.0,39.9,0.0
Gus Williams,25,PG,SEA,76,2266,21.1,23.8,0.111,0.111,0.202,0.943,70.4,190.5
Truck Robinson,27,PF,"NOJ, PHO",69,2537,14.2,11.4,"0.1, 0.078",0.092,0.079,0.632,37.7,0.0
Spencer Haywood,29,PF,"NYK, NOJ",68,2361,17.7,,"0.088, 0.098",0.093,0,0.0,32.2,0.0
Rudy Tomjanovich,30,PF,HOU,74,2641,16.4,12.0,0.105,0.105,0,0.0,60.2,0.0
Maurice Lucas,26,PF,POR,69,2462,18.4,10.2,0.097,0.097,0.366,0.143,53.3,52.3
Norm Nixon,23,PG,LAL,82,3145,18.2,15.9,0.115,0.115,0.145,0.267,65.9,38.7
Dan Issel,30,C,DEN,81,2742,18.3,22.1,0.118,0.118,0.248,0.143,67.6,35.5
Alvan Adams,24,C,PHO,77,2364,20.4,15.1,0.112,0.112,0.104,0.632,68.3,65.7
Scott Wedman,26,SF,KCK,73,2498,16.9,16.9,0.093,0.093,0.215,0.133,54.4,28.6
Jack Sikma,23,C,SEA,82,2958,16.3,15.3,0.086,0.086,0.13,0.943,54.5,122.6
Dennis Johnson,24,SG,SEA,80,2717,15.0,18.1,0.079,0.079,0.153,0.943,50.1,144.3
James Silas,29,PG,SAS,79,2171,16.0,17.7,0.09,0.09,0.133,0.556,52.6,73.9
Phil Ford,22,PG,KCK,79,2723,15.8,6.3,0.087,0.087,0.08,0.133,50.9,10.6
Chris Ford,30,SG,"DET, BOS",81,2737,14.3,,"0.034, 0.065",0.064,0,0.0,22.6,0.0
Eddie Johnson,23,SG,ATL,78,2413,16.7,19.3,0.095,0.095,0.152,0.431,53.3,65.5
Dan Roundfield,25,PF,ATL,80,2539,19.4,20.3,0.11,0.11,0.159,0.431,61.7,68.5
Billy Knight,26,SF,"BOS, IND",79,2095,19.0,,"0.055, 0.108",0.081,0,0.0,34.5,0.0
Bill Robinzine,26,PF,KCK,82,2179,16.4,15.2,0.09,0.09,0.194,0.133,52.6,25.8
Rick Barry,34,SF,HOU,80,2566,14.7,12.1,0.094,0.094,0,0.0,53.9,0.0
Ron Brewer,23,SG,POR,81,2454,14.2,21.8,0.075,0.075,0.781,0.143,41.2,0.0
Fred Brown,30,PG,SEA,77,1961,16.9,16.6,0.089,0.089,0.141,0.943,56.4,133.0
Mychal Thompson,24,C,POR,73,2144,17.0,17.7,0.089,0.089,0.634,0.143,48.9,90.7
