Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kobe Bryant,28,SG,LAL,77,3140,26.1,24.1,0.136,0.136,0.313,0.111,69.6,34.7
LeBron James,22,SF,CLE,78,3190,24.5,23.9,0.137,0.137,0.184,0.683,83.6,125.7
Vince Carter,30,SG,NJN,82,3126,21.8,16.9,0.127,0.127,0.163,0.4,63.5,65.2
Dirk Nowitzki,28,PF,DAL,78,2820,27.6,20.9,0.158,0.158,0.199,0.2,129.1,39.8
Carmelo Anthony,22,SF,DEN,65,2486,22.1,22.1,0.104,0.104,0.287,0.111,57.1,31.9
Ben Gordon,23,SG,CHI,82,2704,18.2,16.0,0.107,0.107,0.142,0.457,64.0,64.9
Tracy McGrady,27,SG,HOU,71,2539,23.2,21.2,0.12,0.12,0.238,0.273,76.1,65.0
Allen Iverson,31,SG,"PHI, DEN",65,2761,18.4,13.0,"0.11, 0.087",0.092,0.169,0.111,47.6,0.0
Amar'e Stoudemire,24,C,PHO,82,2689,23.1,29.6,0.135,0.135,0.225,0.427,100.4,96.1
Tim Duncan,30,C,SAS,80,2726,26.1,27.4,0.128,0.128,0.189,0.992,90.5,187.5
Chris Bosh,22,C,TOR,69,2658,22.6,18.0,0.113,0.113,0.173,0.2,64.7,34.6
Carlos Boozer,25,PF,UTA,74,2557,24.1,24.2,0.141,0.141,0.189,0.533,87.7,100.7
Luol Deng,21,SF,CHI,82,3071,18.7,21.7,0.11,0.11,0.193,0.457,65.8,88.2
Richard Hamilton,28,SG,DET,75,2763,18.1,16.4,0.086,0.086,0.125,0.63,55.6,78.8
Leandro Barbosa,24,SG,PHO,80,2613,18.4,13.0,0.108,0.108,0.099,0.427,80.4,42.3
Dwight Howard,21,C,ORL,82,3023,21.1,15.3,0.116,0.116,0.194,0.0,56.6,0.0
Tony Parker,24,PG,SAS,77,2499,21.4,18.7,0.105,0.105,0.129,0.992,74.2,128.0
Steve Nash,32,PG,PHO,76,2682,23.8,21.9,0.14,0.14,0.166,0.427,104.2,70.9
Mehmet Okur,27,C,UTA,80,2664,18.1,13.9,0.106,0.106,0.109,0.533,65.9,58.1
Shawn Marion,28,SF,PHO,80,3010,20.8,18.5,0.122,0.122,0.14,0.427,90.8,59.8
Dwyane Wade,25,SG,MIA,51,1931,28.9,15.2,0.141,0.141,0.23,0.0,75.7,0.0
Antawn Jamison,30,PF,WAS,70,2662,18.4,26.5,0.099,0.099,0.477,0.0,49.5,0.0
Jason Terry,29,SG,DAL,81,2846,18.9,12.5,0.108,0.108,0.119,0.2,88.2,23.8
Kirk Hinrich,26,PG,CHI,80,2839,17.0,13.1,0.1,0.1,0.116,0.457,59.8,53.0
Josh Howard,26,SF,DAL,70,2455,20.0,22.5,0.114,0.114,0.214,0.2,93.1,42.8
Deron Williams,22,PG,UTA,80,2950,17.1,18.9,0.1,0.1,0.148,0.533,62.2,78.9
Al Harrington,26,PF,"IND, GSW",78,2563,16.1,12.8,"0.061, 0.063",0.062,0.103,0.347,29.4,0.0
Monta Ellis,21,SG,GSW,77,2638,15.0,8.6,0.059,0.059,0.069,0.347,30.2,23.9
Baron Davis,27,PG,GSW,63,2221,21.0,26.8,0.082,0.082,0.216,0.347,42.0,75.0
Yao Ming,26,C,HOU,48,1624,26.5,19.9,0.137,0.137,0.223,0.273,86.9,60.9
Chauncey Billups,30,PG,DET,70,2533,21.3,18.7,0.101,0.101,0.142,0.63,65.2,89.5
Tayshaun Prince,26,SF,DET,82,3001,16.0,13.8,0.076,0.076,0.105,0.63,49.1,66.2
Stephen Jackson,28,SF,"IND, GSW",75,2479,15.7,15.0,"0.059, 0.061",0.06,0.121,0.347,28.3,0.0
Raja Bell,30,SG,PHO,78,2917,12.0,8.4,0.07,0.07,0.064,0.427,52.1,27.3
Rafer Alston,30,PG,HOU,82,3040,12.9,10.7,0.067,0.067,0.12,0.273,42.5,32.8
Andre Miller,30,PG,"DEN, PHI",80,2966,15.9,,"0.078, 0.075",0.076,0.0,0.0,35.1,0.0
Mike Dunleavy,26,SG,"GSW, IND",82,2580,13.8,,"0.057, 0.063",0.06,0.0,0.0,28.0,0.0
T.J. Ford,23,PG,TOR,75,2243,18.2,27.3,0.091,0.091,0.262,0.2,52.1,52.4
Larry Hughes,28,SG,CLE,70,2596,12.1,9.5,0.068,0.068,0.073,0.683,41.5,49.9
Jason Kidd,33,PG,NJN,80,2933,19.4,22.0,0.113,0.113,0.212,0.4,56.5,84.8
Jameer Nelson,24,PG,ORL,77,2331,13.9,13.2,0.076,0.076,0.167,0.0,37.1,0.0
Earl Boykins,30,PG,"DEN, MIL",66,2031,15.1,,"0.084, 0.08",0.082,0.0,0.0,36.1,0.0
Grant Hill,34,SG,ORL,65,2009,16.3,16.8,0.089,0.089,0.213,0.0,43.4,0.0
Rasheed Wallace,32,C,DET,75,2419,15.7,17.3,0.074,0.074,0.131,0.63,47.8,82.5
Zydrunas Ilgauskas,31,C,CLE,78,2130,18.0,18.0,0.101,0.101,0.138,0.683,61.6,94.3
