Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Trae Young,23,PG,ATL,76,2652,186,25.4,5.3,0.106,0.106,0.055,0.111,55.5,6.1
DeMar DeRozan,32,PF,CHI,76,2743,203,23.1,13.4,0.096,0.096,0.196,0.111,53.9,21.8
Joel Embiid,27,C,PHI,68,2297,385,31.2,19.1,0.123,0.123,0.149,0.4,76.5,59.6
Jayson Tatum,23,SF,BOS,76,2731,983,21.8,17.6,0.092,0.092,0.133,0.7,57.2,93.1
Giannis Antetokounmpo,27,PF,MIL,67,2204,448,32.1,26.8,0.12,0.12,0.249,0.475,74.6,118.3
Devin Booker,25,SG,PHO,68,2345,366,21.3,18.0,0.084,0.084,0.129,0.447,65.5,57.7
Karl-Anthony Towns,26,C,MIN,74,2476,222,24.1,17.3,0.114,0.114,0.189,0.2,64.0,37.8
Donovan Mitchell,25,SG,UTA,67,2266,229,21.6,19.0,0.086,0.086,0.205,0.2,51.4,41.0
Kevin Durant,33,PF,BRK,55,2047,176,25.6,13.6,0.088,0.088,0.211,0.0,47.3,0.0
Zach LaVine,26,SG,CHI,67,2328,153,20.0,13.8,0.083,0.083,0.201,0.111,46.6,22.3
Stephen Curry,33,PG,GSW,64,2211,764,21.4,24.4,0.101,0.101,0.132,0.915,65.2,120.8
Ja Morant,22,PG,MEM,57,1889,338,24.4,24.3,0.107,0.107,0.15,0.4,73.1,60.0
Jaylen Brown,25,SF,BOS,66,2220,920,18.9,17.2,0.08,0.08,0.13,0.7,49.8,91.0
Pascal Siakam,27,PF,TOR,68,2578,260,20.3,19.7,0.098,0.098,0.171,0.2,57.3,34.2
Anthony Edwards,20,SG,MIN,72,2466,227,16.5,17.8,0.078,0.078,0.195,0.2,43.8,39.0
James Harden,32,PG,"BRK, PHI",65,2419,479,21.8,16.8,"0.07, 0.086",0.075,0.131,0.4,42.7,0.0
Jordan Poole,22,SG,GSW,76,2283,606,16.1,18.8,0.076,0.076,0.102,0.915,49.1,93.3
Desmond Bane,23,SG,MEM,76,2266,428,17.6,16.0,0.077,0.077,0.099,0.4,52.6,39.6
CJ McCollum,30,PG,"POR, NOP",62,2145,234,21.9,15.5,"0.049, 0.087",0.065,0.133,0.2,25.4,0.0
Tyler Herro,22,SG,MIA,66,2151,381,16.2,12.6,0.071,0.071,0.086,0.636,45.9,54.7
Khris Middleton,30,SF,MIL,66,2141,72,18.1,10.5,0.068,0.068,0.097,0.475,42.3,0.0
Fred VanVleet,27,PG,TOR,65,2462,140,17.3,15.7,0.083,0.083,0.136,0.2,48.6,27.2
Tyrese Maxey,21,PG,PHI,75,2650,485,16.2,16.9,0.064,0.064,0.132,0.4,39.8,52.8
Jalen Brunson,25,SG,DAL,79,2524,629,17.1,20.1,0.064,0.064,0.15,0.509,40.6,76.4
Gary Trent Jr.,23,SG,TOR,70,2448,199,14.7,12.4,0.071,0.071,0.108,0.2,41.5,21.6
Jaren Jackson Jr.,22,PF,MEM,78,2126,332,17.0,15.9,0.075,0.075,0.098,0.4,51.2,39.2
Jordan Clarkson,29,SG,UTA,79,2141,170,14.9,19.8,0.059,0.059,0.214,0.2,35.3,42.8
