Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kevin Durant,21,SF,OKC,82,3239,231,26.2,16.6,0.138,0.138,0.152,0.2,84.2,30.4
LeBron James,25,SF,CLE,76,2966,460,31.1,28.6,0.153,0.153,0.239,0.427,113.8,102.1
Dwyane Wade,28,SG,MIA,77,2792,210,28.0,29.4,0.164,0.164,0.347,0.111,94.0,38.5
Dirk Nowitzki,31,PF,DAL,81,3039,233,22.9,28.3,0.095,0.095,0.257,0.2,63.7,51.4
Kobe Bryant,31,SG,LAL,73,2835,923,21.9,24.7,0.126,0.126,0.199,0.881,87.6,175.3
Carmelo Anthony,25,SF,DEN,69,2634,254,22.2,23.3,0.13,0.13,0.192,0.2,84.0,38.4
Amar'e Stoudemire,27,PF,PHO,82,2838,584,22.6,21.2,0.128,0.128,0.127,0.63,84.4,80.0
Stephen Jackson,31,SG,"GSW, CHA",81,3129,156,15.7,9.8,"0.059, 0.072",0.071,0.198,0.0,36.4,0.0
Joe Johnson,28,SG,ATL,76,2886,440,19.3,14.5,0.109,0.109,0.134,0.267,70.4,35.8
Derrick Rose,21,PG,CHI,78,2871,212,18.6,19.4,0.1,0.1,0.249,0.111,50.0,27.6
Carlos Boozer,28,PF,UTA,78,2673,402,21.3,17.6,0.107,0.107,0.169,0.286,69.1,48.3
Dwight Howard,24,C,ORL,82,2843,497,24.0,22.2,0.13,0.13,0.165,0.7,93.6,115.5
Chauncey Billups,33,PG,DEN,73,2490,207,20.2,19.6,0.119,0.119,0.161,0.2,76.9,32.2
Jamal Crawford,29,SG,ATL,79,2460,351,18.4,14.0,0.104,0.104,0.13,0.267,67.2,34.7
Deron Williams,25,PG,UTA,76,2802,398,20.6,23.5,0.103,0.103,0.225,0.286,66.5,64.4
Brandon Roy,25,SG,POR,65,2419,83,21.3,4.5,0.093,0.093,0.045,0.2,56.7,0.0
Tim Duncan,33,C,SAS,78,2438,373,24.7,19.7,0.116,0.116,0.191,0.286,70.8,54.6
LaMarcus Aldridge,24,PF,POR,78,2922,229,18.2,17.5,0.08,0.08,0.177,0.2,48.8,35.4
Gerald Wallace,27,SF,CHA,76,3119,164,18.3,19.7,0.084,0.084,0.397,0.0,45.1,0.0
Carl Landry,26,PF,"HOU, SAC",80,2469,0,16.0,,"0.108, 0.079",0.098,0,0.0,44.4,0.0
Steve Nash,35,PG,PHO,81,2660,539,21.6,22.4,0.122,0.122,0.134,0.63,80.4,84.4
Russell Westbrook,21,PG,OKC,82,2813,212,17.8,24.3,0.093,0.093,0.222,0.2,56.7,44.4
Ray Allen,34,SG,BOS,80,2819,925,15.2,13.1,0.08,0.08,0.099,0.757,48.8,74.9
Paul Pierce,32,SF,BOS,71,2411,930,18.2,15.8,0.095,0.095,0.12,0.757,58.0,90.8
Jason Terry,32,SG,DAL,77,2540,174,16.5,11.8,0.069,0.069,0.107,0.2,46.3,21.4
Brandon Jennings,20,PG,MIL,82,2671,249,14.5,17.7,0.078,0.078,0.156,0.273,43.8,42.6
