Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tony Campbell,27,SG,82,81,3164,17.1,.520,.034,.360,7.5,9.8,8.5,12.4,1.8,0.6,12.1,29.0,2.8,2.5,5.3,.081,1.6,-1.3,0.3,1.8,
2,Tyrone Corbin,27,SF,82,80,3011,15.9,.512,.010,.193,8.2,16.4,12.0,12.0,3.1,0.9,10.9,19.3,2.8,4.0,6.8,.108,-0.1,1.0,0.9,2.2,
3,Pooh Richardson,23,PG,82,48,2581,15.8,.482,.090,.116,2.4,8.0,5.0,35.3,2.7,0.6,12.7,19.0,2.0,2.4,4.4,.082,1.0,0.4,1.4,2.2,
4,Tod Murphy,26,C,82,59,2493,13.0,.530,.078,.368,9.4,18.3,13.6,6.4,1.6,1.6,8.7,12.4,3.3,2.8,6.1,.117,-0.7,0.2,-0.4,1.0,
5,Sam Mitchell,26,PF,80,30,2414,13.7,.512,.011,.418,8.4,14.9,11.5,6.0,1.4,1.5,8.9,19.8,2.8,2.3,5.1,.102,-1.5,-0.9,-2.4,-0.3,
6,Sidney Lowe,30,PG,80,38,1744,8.7,.370,.039,.236,2.7,9.0,5.6,26.5,2.2,0.2,20.0,8.0,0.1,1.4,1.5,.040,-3.3,0.6,-2.7,-0.3,
7,Randy Breuer,29,C,51,47,1325,13.6,.452,.002,.278,9.5,17.3,13.1,10.4,1.3,3.7,10.6,21.3,-0.2,1.6,1.4,.050,-2.0,0.2,-1.8,0.1,
8,Scott Roth,26,SF,71,3,1061,11.7,.478,.124,.479,3.6,9.4,6.3,17.4,2.5,0.4,14.3,24.6,-0.2,1.0,0.7,.034,-2.5,0.0,-2.5,-0.2,
9,Donald Royal,23,SF,66,0,746,15.2,.566,.004,.773,10.4,11.7,11.0,9.4,2.3,0.7,19.2,25.0,0.6,0.7,1.3,.087,-1.1,-0.6,-1.7,0.1,
10,Brad Lohaus,25,PF,28,24,590,11.8,.492,.079,.129,4.0,19.3,11.2,17.1,1.3,2.5,17.4,19.3,-0.3,0.7,0.4,.031,-2.4,0.6,-1.7,0.0,
11,Doug West,22,SG,52,0,378,7.5,.453,.081,.237,7.2,15.6,11.1,7.5,1.4,1.1,17.2,21.0,-0.5,0.4,-0.1,-0.017,-5.8,-1.2,-7.0,-0.5,
12,Gary Leonard,22,C,22,0,127,6.2,.431,.032,.452,8.9,17.1,12.8,1.2,1.2,4.7,17.7,15.7,-0.2,0.2,0.0,-0.010,-8.0,-0.4,-8.4,-0.2,
13,Brad Sellers,27,PF,14,0,113,6.0,.383,.036,.214,8.0,12.5,10.1,1.5,2.8,1.8,16.4,28.6,-0.4,0.1,-0.3,-0.127,-7.5,-2.4,-10.0,-0.2,
14,Adrian Branch,26,SF,11,0,91,16.9,.460,.016,.361,9.9,16.9,13.2,8.8,3.5,0.0,10.2,38.1,-0.1,0.1,0.0,.014,-0.9,-1.1,-2.0,0.0,
15,Steve Johnson,32,C,4,0,17,-21.8,.000,.000,.000,0.0,22.6,10.6,7.6,0.0,0.0,75.0,20.7,-0.2,0.0,-0.2,-0.587,-26.1,-3.7,-29.7,-0.1,
